channel,mean,rms,meanerr,rmserr,tv
1766,2667.36,12.8834,0.308198,0.435416,9754
1659,2429.3,9.15563,0.325523,0.333025,9754
1765,2441.48,9.70625,0.242964,0.280462,9754
1660,2404.65,8.0059,0.291314,0.248053,9754
1764,2449.78,9.20633,0.259129,0.268225,9754
1661,2406.35,7.61239,0.243291,0.225239,9754
1763,2401.48,9.86761,0.221588,0.267419,9754
1662,2395.06,7.06775,0.189737,0.213526,9754
1762,2311.07,11.1914,0.233511,0.311073,9754
1663,2395.82,7.36464,0.207329,0.219437,9754
1761,2378.94,10.1828,0.277462,0.277066,9754
1664,2451.87,7.68559,0.270159,0.231633,9754
1760,2465.5,9.78614,0.250282,0.201017,9754
1665,2423.36,9.26449,0.292126,0.351278,9754
1759,2374.51,10.0641,0.172979,0.281119,9754
1758,2480.81,11.4607,0.195116,0.378429,9754
1757,2757.31,12.7501,0.257938,0.44334,9754
1756,2566.4,9.33892,0.278558,0.373282,9754
1668,2504.42,5.62485,0.19773,0.167062,9754
1755,2481.08,14.9173,0.350085,0.488937,9754
1669,2427.28,11.9119,0.588203,0.388414,9754
1754,2446.92,8.1565,0.123874,0.200426,9754
1670,2560.63,11.1127,0.507134,0.401421,9754
1753,2441.01,11.0172,0.290091,0.453292,9754
1671,2370.57,6.26331,0.318029,0.790967,9754
1752,2358.66,21.4501,0.446835,0.53247,9754
1672,2398.84,8.49445,0.351284,0.176565,9754
1751,2381.15,9.96748,0.206042,0.294096,9754
1673,2387.45,6.41354,0.215226,0.177078,9754
1750,2368,0,0,0,9754
1674,2387.95,7.04683,0.209533,0.205101,9754
1749,2389.16,15.0954,0.366714,0.416146,9754
1666,2675.5,8.87475,0.207875,0.345643,9754
1950,567.647,10.4532,0.273503,0.240502,9754
1951,466.731,8.98818,0.196997,0.185109,9754
1952,468.603,9.45687,0.198918,0.168806,9754
1953,476.608,10.7172,0.17552,0.173631,9754
1954,431.007,10.9503,0.216515,0.283693,9754
1955,2145.4,1.93799,0.0894174,0.0319638,9754
1956,447.552,11.7316,0.204828,0.203522,9754
1957,481.259,10.4281,0.203664,0.177453,9754
