channel, mean, rms, meaner, rmserr, tv
1495,756.8,8.21,0,0,1
1497,745.92,7.84,0,0,1
1499,749.46,8.09,0,0,1
1501,739.65,7.77,0,0,1
1520,753.23,7.61,0,0,1
1519,761.15,7.04,0,0,1
1474,749.51,7.98,0,0,1
1476,762.07,7.57,0,0,1
1478,739.42,8.49,0,0,1
1480,743.49,7.97,0,0,1
1482,740.5,8.32,0,0,1
1484,759.53,6.98,0,0,1
1486,756.27,7.84,0,0,1
1504,766.25,8.41,0,0,1
1455,729.94,8.71,0,0,1
1409,739.28,9.12,0,0,1
1411,789.49,9.16,0,0,1
1413,798.38,8.54,0,0,1
1415,812.04,8.68,0,0,1
1417,815.83,8.11,0,0,1
1419,781.97,7.32,0,0,1
1421,803.4,8.11,0,0,1
1440,822.74,7.43,0,0,1
1471,816.53,8.14,0,0,1
1426,792.86,7.47,0,0,1
1428,778.95,7.24,0,0,1
1430,789.09,7.42,0,0,1
1432,777.52,7.26,0,0,1
1434,793.51,7.8,0,0,1
1436,775.76,4.01,0,0,1
1438,757.15,7.24,0,0,1
1456,781.37,7.84,0,0,1
1407,774.13,8.54,0,0,1
1361,762.26,5.51,0,0,1
1363,737.19,6.44,0,0,1
1365,742.32,6.73,0,0,1
1367,755.43,5.54,0,0,1
1369,739.29,6.37,0,0,1
1371,2535.08,2.41,0,0,1
1373,753.59,6.19,0,0,1
1392,750.92,6.39,0,0,1
1391,729.72,6.33,0,0,1
1346,721.66,5.57,0,0,1
1348,750.08,6.18,0,0,1
1350,746.58,6.51,0,0,1
1352,723.31,6.29,0,0,1
1354,758.07,5.48,0,0,1
1356,772.39,8.57,0,0,1
1358,754.75,8.43,0,0,1
1376,776.79,5.28,0,0,1
1327,760.98,6.16,0,0,1
1281,758.72,5.18,0,0,1
1283,773.54,4.75,0,0,1
1285,772.05,4.92,0,0,1
1287,770.42,4.8,0,0,1
1289,762.4,5.55,0,0,1
1291,774.28,5.05,0,0,1
1293,766.34,5.47,0,0,1
1312,779.81,5.38,0,0,1
1343,756.43,5.62,0,0,1
1298,760.19,5.16,0,0,1
1300,747.64,6.54,0,0,1
1302,762.73,5.5,0,0,1
1304,711.42,1.19,0,0,1
1306,768.84,7.55,0,0,1
1308,758.03,7.35,0,0,1
1310,759.3,6.92,0,0,1
1328,762.22,7.8,0,0,1
1279,764.64,7.07,0,0,1
1233,743.58,8.37,0,0,1
